product_name,price,seller,location,number_sold,rating,link
Emas Antam 1 Gram Certicard + Box Gratis Kartu Ucapan Custom,Rp1.279.000,Calvina Galleria,Jakarta Selatan,1rb+ terjual,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_17HAyOHAUpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_rFH_JaosyDUMoFyaUEH_KFHmFircYpq9z2Qfdi6sJDUMWB89P5rMzwq3ei6sJN6_yOHsnRoAnDUMVDgaUEUMW79fudy3o79RzWUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pep6_gPbm-X9foxQMz2gcV7guYxgIHi6sJaomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstOosJX6_1h6AyRHs1RoAHabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8Jhk_9BozJuE_32C8JOEZ9PouJON_1zVq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAoIBozcHh_1zCP7OJe9PozJVR_1zCP7O2Z9o-Q_ufyMO6QJBkQfBgHjBE_OP-HVB9Z9zvuJ1p_jHFHJOEgRBHu7BR_1P-PJOkZ_oouOBE_BzuH1OJypC-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKauszgu7dFZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32zHjONoAVoqBJa_7z081Y1yRx6zcH7Z3dFvZUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsep6_yibmUh6_URUiFiHsjNHZ-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6AJfo_nfHsHhHAJho_jdoZFirI-2yfuwyMBjUsth6AnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6srRHmdO6_JdHAydo_JOHpnfbm-hP3ua8uYag3hay3N09RosQR-BUstFbs1dHs1OoAedoAy7oprRoAgY?pub_unit=0&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fcalvinagalleria%2Femas-antam-1-gram-certicard-box-gratis-kartu-ucapan-custom-cokelat%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&ob=23&t=desktop&pub_domain=0&page=1&management_type=1&is_search=1&pub_id=0&keywords=emas+antam+1+gram
"LM Emas Antam 1 gram Happy Wedding Gift Series Custom - muslim, 1 gram",Rp1.262.250,Toko Igunawan,Jakarta Timur,500+ terjual,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Ufo_yfHsnFbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_rFH_JaosyDUMoFyaUEH_UFHmFircYpq9z2Qfdi6sUDUMVDgaUEUSo7QuY0rfuS9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pep6_gPbm-X9foxQMz2gcV7guYxgIHi6sJaomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUst7osjX6AHpHsrF6Anh6AJR6AHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1Bd_c2uH1OJ__z68B1O_M2So1Y1Z9B617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fBGqBBk__ugqB-t33jFo1O1ypCHuVVE_7z-PVBke9Pgq_CN_32s8V2k__V6uVuR_S2zq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7O36ACo8MDagjxdrMHauMNMZIx11Buj_B-uouuyHVgv1sVpQB29H3xs81-tyMNZqc-_e9x-zfzN3urFQBxy8AxsHO-7gjxduV-ugJNZu_uu3ACD_O-crfNqupVtyRBmqc-X1Mxi17VdZ1Pj8uB9HcNy3IKd3_--q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-8jOJ_9u6uV1O_92z8JOku_C6uVuNZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_92SH7hku_Cozcrp_Ozzo1OE__Cvuco2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6sHhoAnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsep6_yibmUh6_URUiFiHsjNHZ-Pbm-FrMBsguYiq3ei6sJaHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEo_KabsnOHAUf6AUdo_nF6_HDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHp1RosKdo_j76AjNo_1fwe?page=1&keywords=emas+antam+1+gram&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokoigunawan%2Flm-emas-antam-1-gram-happy-wedding-gift-series-custom-muslim-1-gram-d7b9%3FextParam%3Divf%253Dfalse%26src%3Dtopads&dv=desktop&t=desktop&is_search=1&pub_unit=0&ob=23&pub_id=0&management_type=1&src=search&pub_domain=0
Logam Mulia Press 1 gram baru certieye bs plterr,Rp1.245.000,TOKO MAS DYNASTY,Jakarta Pusat,250+ terjual,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_KOHAypHs1abm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_rFH_JaosyDUMoFyaUEHs1FHmFircYpq9z2Qfdi6sHDUMWB89P5rMzwq3ei6sHNHsUhHAJhHp1DUMVDgaUEUMW79RCtrMVpgZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1dbAJNHseDH_jaoO7DUMNwyfVXgcBjy9zB9fVjraUEH_U7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6seF6ZdNoAjd6_1pHAH7HA1aomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9xHqjuN_92uo1N1u9P6uVBd_S20H7NE33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoepzN_uzSH7N_Z9o-Q_ufyMO6QJBkQfBgHjBE_OP-HVB9Z9zvuJ1p_jHFHJOEgRBHu7BR_1P-PJOkZ_oouOBE_BzuH1OJypC-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBxHO-M33NGPBB91sxMzReF3AomQfoWzS2q17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1jF_1z0P1Y11_uvzcDh_92C8jNJe_VoqBV2gBJYvZUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsep6_yibmUh6_URUiFiHsjNHZ-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6AjRHAHh6_yaoA1OHseFHaFirI-2yfuwyMBjUstao_nFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6s1fomdFHpJa6_ndopnNHpyabm-hP3ua8uYag3hay3N09RosQR-BUstFbs1hosrF6AeaopeOopjaH_-Y?t=desktop&dv=desktop&keywords=emas+antam+1+gram&management_type=1&pub_id=0&r=https%3A%2F%2Fwww.tokopedia.com%2Ftoko-mas-dynasty%2Flogam-mulia-press-1-gram-baru-certieye-bs-plterr%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&pub_unit=0&src=search&page=1&pub_domain=0&ob=23
"EMAS ANTAM 1 Gram - 25 Gram Logam Mulia LM Antam RETRO VERTICAL - Antam Retro, 1 Gram",Rp1.012.000,KAAF,Kab. Tangerang,20 terjual,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_KOHsyFHpyNbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_rFH_JaosyDUMoFyaUEop1Fbm-FQRo2PcB5QiUEomFiqfuNPfYagVY2gmUEoAJh6AedHsUNoiFiy3hSUstiqRzwrcxay9oB9RzWUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pep6_gPbm-X9foxQMz2gcV7guYxgIHi6sJaomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUst7H_HXHpKFosUhHsUOoAyNomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqj77_1z0H1Ok__zozcDh_32ooJO_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9PHqjJa_Bzg81N_Z9o-Q_ufyMO6QJBkQfBgHjBE_OP-HVB9Z9zvuJ1p_jHFHJOEgRBHu7BR_1P-PJOkZ_oouOBE_BzuH1OJypC-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKaZSBiHjg0gjxdrMzc69PxZJ2typ-uq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OE19PHqMDp_M2CHJOkqR2ozcHp_3BG6ZUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsep6_yibmUh6_URUiFiHsjNHZ-Pbm-SrMYOrVYpPI-xPcuS8ZUE3pJDHB7DUS-BQcufy3NsguYpyfYagZUEHmdd6_raopeFopJaHsHpHsyhbm-FrMBsguYiq3ei6srOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstOo_yX6_HdoAnfopHaH_HfHZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdfHseOo_eN6AefH_nFH_URwe?keywords=emas+antam+1+gram&r=https%3A%2F%2Fwww.tokopedia.com%2Fkaaf%2Femas-antam-1-gram-25-gram-logam-mulia-lm-antam-retro-vertical-antam-retro-1-gram-65d82%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&pub_id=0&t=desktop&page=1&management_type=1&pub_domain=0&ob=23&dv=desktop&src=search&pub_unit=0
Logam Mulia Emas Antam 1 gram Press Certieye LM,Rp1.103.950,Dover Fine Gold,Surabaya,1rb+ terjual,5.0,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_JaHsJdop1fbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_rFH_JaosyDUMoFyaUEHp1Fbm-FQRo2PcB5QiUEoZFiy3hSUstirRzW9fWpg3PwQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QoAHNoB7DUMNwyfVXgcBjy9zB9fVjraUEH_U7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sea6mdposUFHseR6AUFopeOoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqB1p_uzz81YJu_oouVVN_7zuH7O_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12k332oouBk1Mxgq_nO_uzsHJh1192vzJB7332CPOB2HIBoqMod3M2oH1N1u9P68BV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_uydHJOEqp-MZIxayp-3QMgU8VzZu3z61B1OuuKFujYZH9oX3BrhqcoNeMxiQB-tyBoC8JBIgIBgupCX3Vxd6cHp1SzMZIx11Buj_B-uouuyHchv1jgpQB29H3xs81-tyMNZqc-_e9x-zfzN3urFQBxy8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M20P1Nke_uo8BJF_1zCoJY1yRP6uVV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_BzoP1OE_926zJ17_S2s81NE3_-o81tNUiFiyfhOrRzBrBY2gVYfHiUEH_1aHsyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsep6_yibmUh6_URUiFiHsjNHZ-Pbm-FrMBsguYiq3ei6sHOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstOo_HX6AyR6_eaop1OHpUFHiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdOo_nN6AnO6_jhoprFoAURwe?pub_domain=0&ob=23&pub_id=0&t=desktop&dv=desktop&src=search&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fdoverfinegold%2Flogam-mulia-emas-antam-1-gram-press-certieye-lm%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&keywords=emas+antam+1+gram&pub_unit=0&page=1
1 GR (GRAM) LOGAM MULIA/LOGAM MULIA ANTAM/LM/EMAS ANTAM BERSERTIFIKAT,Rp1.120.000,aurms79,Jakarta Barat,10rb+ terjual,5.0,https://www.tokopedia.com/aurms79/1-gr-gram-logam-mulia-logam-mulia-antam-lm-emas-antam-bersertifikat?extParam=ivf%3Dfalse%26src%3Dsearch
Emas ANTAM Logam Mulia Certicard - 1 gr,Rp1.122.000,Butik Emas ANTAM Official,Jakarta Timur,6rb+ terjual,5.0,https://www.tokopedia.com/emas-antam-id/emas-antam-logam-mulia-certicard-1-gr?extParam=ivf%3Dtrue%26src%3Dsearch
"LOGAM MULIA, LM ANTAM, EMAS BATANGAN KEPINGAN 1 GRAM",Rp1.120.000,NagaMas,Jakarta Utara,10rb+ terjual,5.0,https://www.tokopedia.com/nagamas88/logam-mulia-lm-antam-emas-batangan-kepingan-1-gram?extParam=ivf%3Dfalse%26src%3Dsearch
1 GR (GRAM) LOGAM MULIA/LM/EMAS BATANGAN ANTAM SERTIFIKAT,Rp1.016.000,JuraganEmas,Jakarta Barat,750+ terjual,4.9,https://www.tokopedia.com/antamlm/1-gr-gram-logam-mulia-lm-emas-batangan-antam-sertifikat?extParam=ivf%3Dfalse%26src%3Dsearch
LOGAM MULIA EMAS ANTAM (LM) 1 GR REINVENTED PRESS CERTIEYE TERBARU,Rp1.088.000,RVL Gold,Jakarta Timur,1rb+ terjual,5.0,https://www.tokopedia.com/rvl/logam-mulia-emas-antam-lm-1-gr-reinvented-press-certieye-terbaru?extParam=ivf%3Dfalse%26src%3Dsearch
